10
ID#12340,Volkswagen,Scirocco,Silver,BI7169AI,2017,599000
ID#12341,KIA,Cee`d,Grey,BI7170AI,2012,250000
ID#12342,KIA,Cee`d,Cyan,BI7171AI,2018,600000
ID#12343,KIA,Cerato,Red,BI7172AI,2016,450000
ID#12344,Range Rover,Sport,Black,BI7173AI,2014,900000
ID#12345,Mercedes,C63 AMG,Silver,BI7174AI,2008,499000
ID#12346,Lada,Kalina,Asphalt,BI7175AI,2009,150000
ID#12347,BMW,M4 Coupe,Orange,BI7176AI,2018,800000
ID#12348,Mercedes,S65,Black,BI7177AI,2015,999000
ID#12349,Chevrolet,Camaro,Yellow,BI7178AI,2011,650000
